Order #,FirstName,LastName,Address1,Address2,City,State,PostalCode,Country,Order Date,Product Weight,Shipping Method,Item Count,Value Of Products,Shipping Fee Paid,Tracking #,Carrier
"A2FFC195-000023-000F5","Buyer035","Placeholder","135 Example St","","Springfield","OR","17165-0455","US","2026-06-13","0.28","Standard (7-10 days)","4","35.07","1.00","",""
"A2FFC195-000024-000FC","Buyer036","Placeholder","136 Example St","","Springfield","FL","25084-0468","US","2026-06-13","0.21","Standard (7-10 days)","3","34.80","1.00","",""
"A2FFC195-000025-00103","Buyer037","Placeholder","137 Example St","","Springfield","RI","33003","US","2026-06-13","0.21","Standard (7-10 days)","3","13.39","1.00","",""
"A2FFC195-000026-0010A","Buyer038","Placeholder","138 Example St","","Springfield","TX","40922-0494","US","2026-06-13","0.14","Standard (7-10 days)","2","43.78","1.00","",""
"A2FFC195-000027-00111","Buyer039","Placeholder","139 Example St","","Springfield","CT","48841","US","2026-06-13","0.00","Standard (7-10 days)","1","249.99","0.00","",""
"A2FFC195-000028-00118","Buyer040","Placeholder","140 Example St","","Springfield","NJ","56760-0520","US","2026-06-13","0.14","Standard (7-10 days)","2","9.00","1.00","",""
"A2FFC195-000029-0011F","Buyer041","Placeholder","141 Example St","","Springfield","VA","64679-0533","US","2026-06-13","0.07","Standard (7-10 days)","1","24.82","1.00","",""
"A2FFC195-00002A-00126","Buyer042","Placeholder","142 Example St","","Springfield","TX","72598","US","2026-06-13","0.14","Standard (7-10 days)","2","9.18","1.00","",""
"A2FFC195-00002B-0012D","Buyer043","Placeholder","143 Example St","","Springfield","TX","80517-0559","US","2026-06-13","0.07","Standard (7-10 days)","1","18.50","1.00","",""
"A2FFC195-00002C-00134","Buyer044","Placeholder","144 Example St","","Springfield","MD","88436-0572","US","2026-06-13","0.07","Standard (7-10 days)","1","6.99","1.00","",""
"A2FFC195-00002D-0013B","Buyer045","Placeholder","145 Example St","","Springfield","CA","96355-0585","US","2026-06-13","0.07","Standard (7-10 days)","1","18.50","1.00","",""
"A2FFC195-00002E-00142","Buyer046","Placeholder","146 Example St","","Springfield","KY","14274-0598","US","2026-06-13","0.07","Standard (7-10 days)","1","25.89","1.00","",""
"A2FFC195-00002F-00149","Buyer047","Placeholder","147 Example St","","Springfield","PA","22193","US","2026-06-13","0.07","Standard (7-10 days)","1","5.00","1.00","",""
"A2FFC195-000030-00150","Buyer048","Placeholder","148 Example St","","Springfield","VA","30112","US","2026-06-13","0.07","Standard (7-10 days)","1","4.50","1.49","",""
"A2FFC195-000031-00157","Buyer049","Placeholder","149 Example St","","Springfield","WA","38031-0637","US","2026-06-14","0.07","Standard (7-10 days)","1","14.00","1.00","",""
"A2FFC195-000032-0015E","Buyer050","Placeholder","150 Example St","","Springfield","CA","45950","US","2026-06-14","0.28","Standard (7-10 days)","4","1.20","1.49","",""
"A2FFC195-000033-00165","Buyer051","Placeholder","151 Example St","","Springfield","NY","53869-0663","US","2026-06-14","0.84","Standard (7-10 days)","12","3.88","1.49","",""
"A2FFC195-000034-0016C","Buyer052","Placeholder","152 Example St","","Springfield","TX","61788","US","2026-06-14","0.28","Standard (7-10 days)","4","9.00","1.00","",""
"A2FFC195-000035-00173","Buyer053","Placeholder","153 Example St","","Springfield","AR","69707-0689","US","2026-06-14","0.28","Standard (7-10 days)","4","11.51","1.00","",""
"A2FFC195-000036-0017A","Buyer054","Placeholder","154 Example St","","Springfield","UT","77626-0702","US","2026-06-14","0.07","Standard (7-10 days)","1","6.68","1.00","",""
"A2FFC195-000037-00181","Buyer055","Placeholder","155 Example St","","Springfield","CA","85545-0715","US","2026-06-14","0.14","Standard (7-10 days)","2","8.37","1.00","",""
"A2FFC195-000038-00188","Buyer056","Placeholder","156 Example St","","Springfield","CA","93464-0728","US","2026-06-14","0.07","Standard (7-10 days)","1","23.49","1.00","",""
"A2FFC195-000039-0018F","Buyer057","Placeholder","157 Example St","","Springfield","TX","11383-0741","US","2026-06-14","0.07","Standard (7-10 days)","1","23.31","1.00","",""
"A2FFC195-00003A-00196","Buyer058","Placeholder","158 Example St","","Springfield","DE","19302","US","2026-06-14","0.21","Standard (7-10 days)","3","11.43","1.00","",""
"A2FFC195-00003B-0019D","Buyer059","Placeholder","159 Example St","","Springfield","WI","27221-0767","US","2026-06-14","0.07","Standard (7-10 days)","1","10.49","1.00","",""
"A2FFC195-00003C-001A4","Buyer060","Placeholder","160 Example St","","Springfield","TX","35140-0780","US","2026-06-14","0.35","Standard (7-10 days)","5","16.97","1.00","",""
"A2FFC195-00003D-001AB","Buyer061","Placeholder","161 Example St","","Springfield","CA","43059-0793","US","2026-06-14","0.07","Standard (7-10 days)","1","9.78","1.00","",""
"A2FFC195-00003E-001B2","Buyer062","Placeholder","162 Example St","","Springfield","MA","50978","US","2026-06-14","0.21","Standard (7-10 days)","3","14.97","1.00","",""
"A2FFC195-00003F-001B9","Buyer063","Placeholder","163 Example St","","Springfield","MS","58897-0819","US","2026-06-14","0.21","Standard (7-10 days)","3","7.17","1.00","",""
"A2FFC195-000040-001C0","Buyer064","Placeholder","164 Example St","","Springfield","FL","66816","US","2026-06-14","0.07","Standard (7-10 days)","1","8.38","1.00","",""
"A2FFC195-000041-001C7","Buyer065","Placeholder","165 Example St","","Springfield","GA","74735","US","2026-06-14","0.21","Standard (7-10 days)","3","20.49","1.00","",""
"A2FFC195-000042-001CE","Buyer066","Placeholder","166 Example St","","Springfield","LA","82654-0858","US","2026-06-14","0.35","Standard (7-10 days)","5","53.80","1.00","",""
"A2FFC195-000043-001D5","Buyer067","Placeholder","167 Example St","","Springfield","FL","90573-0871","US","2026-06-14","0.21","Standard (7-10 days)","3","12.15","1.00","",""
"A2FFC195-000044-001DC","Buyer068","Placeholder","168 Example St","","Springfield","CA","98492-0884","US","2026-06-14","0.07","Standard (7-10 days)","1","17.99","1.00","",""
"A2FFC195-000045-001E3","Buyer069","Placeholder","169 Example St","","Springfield","IL","16411","US","2026-06-14","0.07","Standard (7-10 days)","1","23.00","1.00","",""
"A2FFC195-000046-001EA","Buyer070","Placeholder","170 Example St","Unit 70","Springfield","NY","24330-0910","US","2026-06-14","0.21","Standard (7-10 days)","3","1.86","1.49","",""
"A2FFC195-000047-001F1","Buyer071","Placeholder","171 Example St","","Springfield","CA","32249","US","2026-06-14","0.07","Standard (7-10 days)","1","7.00","1.00","",""
"A2FFC195-000048-001F8","Buyer072","Placeholder","172 Example St","","Springfield","NC","40168-0936","US","2026-06-14","0.07","Standard (7-10 days)","1","18.89","1.00","",""
"A2FFC195-000049-001FF","Buyer073","Placeholder","173 Example St","","Springfield","TX","48087-0949","US","2026-06-14","0.21","Standard (7-10 days)","3","44.19","1.00","",""
"A2FFC195-00004A-00206","Buyer074","Placeholder","174 Example St","","Springfield","TX","56006-0962","US","2026-06-14","0.49","Standard (7-10 days)","7","23.10","1.00","",""
"A2FFC195-00004B-0020D","Buyer075","Placeholder","175 Example St","","Springfield","TX","63925-0975","US","2026-06-14","0.07","Standard (7-10 days)","1","9.20","1.00","",""
"A2FFC195-00004C-00214","Buyer076","Placeholder","176 Example St","","Springfield","CO","71844","US","2026-06-14","0.14","Standard (7-10 days)","2","23.47","1.00","",""
"A2FFC195-00004D-0021B","Buyer077","Placeholder","177 Example St","","Springfield","CT","79763-1001","US","2026-06-14","0.07","Standard (7-10 days)","1","5.29","1.00","",""
"A2FFC195-00004E-00222","Buyer078","Placeholder","178 Example St","","Springfield","CA","87682","US","2026-06-14","0.07","Standard (7-10 days)","1","23.00","1.00","",""
"A2FFC195-00004F-00229","Buyer079","Placeholder","179 Example St","","Springfield","TX","95601-1027","US","2026-06-14","0.07","Standard (7-10 days)","1","17.29","1.00","",""
"A2FFC195-000050-00230","Buyer080","Placeholder","180 Example St","","Springfield","CA","13520-1040","US","2026-06-14","0.21","Standard (7-10 days)","3","2.73","1.49","",""
"A2FFC195-000051-00237","Buyer081","Placeholder","181 Example St","","Springfield","CA","21439-1053","US","2026-06-14","0.14","Standard (7-10 days)","2","31.39","1.00","",""
"A2FFC195-000052-0023E","Buyer082","Placeholder","182 Example St","","Springfield","NV","29358-1066","US","2026-06-14","0.00","Standard (7-10 days)","1","249.99","0.00","",""
"A2FFC195-000053-00245","Buyer083","Placeholder","183 Example St","","Springfield","CA","37277-1079","US","2026-06-14","0.07","Standard (7-10 days)","1","10.49","1.00","",""
"A2FFC195-000054-0024C","Buyer084","Placeholder","184 Example St","","Springfield","SC","45196-1092","US","2026-06-14","1.47","Standard (7-10 days)","21","180.74","1.00","",""
"A2FFC195-000055-00253","Buyer085","Placeholder","185 Example St","","Springfield","TN","53115-1105","US","2026-06-14","0.07","Standard (7-10 days)","1","24.29","1.00","",""
"A2FFC195-000056-0025A","Buyer086","Placeholder","186 Example St","","Springfield","CA","61034-1118","US","2026-06-14","0.07","Standard (7-10 days)","1","33.00","1.00","",""
"A2FFC195-000057-00261","Buyer087","Placeholder","187 Example St","","Springfield","WA","68953-1131","US","2026-06-14","0.07","Standard (7-10 days)","1","22.00","1.00","",""
"A2FFC195-000058-00268","Buyer088","Placeholder","188 Example St","","Springfield","GA","76872-1144","US","2026-06-15","0.21","Standard (7-10 days)","3","2.25","1.49","",""
"A2FFC195-000059-0026F","Buyer089","Placeholder","189 Example St","","Springfield","OH","84791-1157","US","2026-06-15","0.00","Standard (7-10 days)","1","409.99","0.00","",""
"A2FFC195-00005A-00276","Buyer090","Placeholder","190 Example St","","Springfield","DC","92710-1170","US","2026-06-15","0.70","Standard (7-10 days)","10","22.28","1.00","",""
"A2FFC195-00005B-0027D","Buyer091","Placeholder","191 Example St","","Springfield","NJ","10629-1183","US","2026-06-15","0.07","Standard (7-10 days)","1","21.00","1.00","",""
"A2FFC195-00005C-00284","Buyer092","Placeholder","192 Example St","","Springfield","CA","18548-1196","US","2026-06-15","0.21","Standard (7-10 days)","3","31.47","1.00","",""
"A2FFC195-00005D-0028B","Buyer093","Placeholder","193 Example St","","Springfield","TX","26467-1209","US","2026-06-15","0.14","Standard (7-10 days)","2","1499.55","1.00","",""
"A2FFC195-00005E-00292","Buyer094","Placeholder","194 Example St","","Springfield","AZ","34386-1222","US","2026-06-15","0.07","Standard (7-10 days)","1","33.49","1.00","",""
"A2FFC195-00005F-00299","Buyer095","Placeholder","195 Example St","","Springfield","NJ","42305-1235","US","2026-06-15","0.14","Standard (7-10 days)","2","11.00","1.00","",""
"A2FFC195-000060-002A0","Buyer096","Placeholder","196 Example St","","Springfield","MD","50224-1248","US","2026-06-15","0.14","Standard (7-10 days)","2","46.60","1.00","",""
"A2FFC195-000061-002A7","Buyer097","Placeholder","197 Example St","","Springfield","PA","58143-1261","US","2026-06-15","0.07","Standard (7-10 days)","1","24.50","1.00","",""
"A2FFC195-000062-002AE","Buyer098","Placeholder","198 Example St","","Springfield","PA","66062-1274","US","2026-06-15","0.07","Standard (7-10 days)","1","7.20","1.00","",""
"A2FFC195-000063-002B5","Buyer099","Placeholder","199 Example St","","Springfield","NV","73981-1287","US","2026-06-15","0.70","Standard (7-10 days)","10","21.20","1.00","",""
"A2FFC195-000064-002BC","Buyer100","Placeholder","200 Example St","","Springfield","FL","81900-1300","US","2026-06-15","0.07","Standard (7-10 days)","1","9.50","1.00","",""
"A2FFC195-000065-002C3","Buyer101","Placeholder","201 Example St","","Springfield","OH","89819","US","2026-06-15","0.07","Standard (7-10 days)","1","48.89","1.00","",""
"A2FFC195-000066-002CA","Buyer102","Placeholder","202 Example St","","Springfield","OH","97738-1326","US","2026-06-15","0.70","Standard (7-10 days)","10","5.54","1.00","",""
"A2FFC195-000067-002D1","Buyer103","Placeholder","203 Example St","Unit 103","Springfield","GA","15657-1339","US","2026-06-15","0.07","Standard (7-10 days)","1","124.99","1.00","",""
"A2FFC195-000068-002D8","Buyer104","Placeholder","204 Example St","Unit 104","Springfield","IL","23576","US","2026-06-15","0.07","Standard (7-10 days)","1","22.99","1.00","",""
"A2FFC195-000069-002DF","Buyer105","Placeholder","205 Example St","Unit 105","Springfield","WA","31495-1365","US","2026-06-15","0.07","Standard (7-10 days)","1","220.00","1.00","",""
"A2FFC195-00006A-002E6","Buyer106","Placeholder","206 Example St","","Springfield","PA","39414-1378","US","2026-06-16","0.14","Standard (7-10 days)","2","42.00","1.00","",""
"A2FFC195-00006B-002ED","Buyer107","Placeholder","207 Example St","","Springfield","MD","47333","US","2026-06-16","0.07","Standard (7-10 days)","1","221.79","1.00","",""
"A2FFC195-00006C-002F4","Buyer108","Placeholder","208 Example St","","Springfield","NH","55252-1404","US","2026-06-16","0.28","Standard (7-10 days)","4","22.00","1.00","",""
"A2FFC195-00006D-002FB","Buyer109","Placeholder","209 Example St","","Springfield","TX","63171-1417","US","2026-06-16","0.07","Standard (7-10 days)","1","10.98","1.00","",""
"A2FFC195-00006E-00302","Buyer110","Placeholder","210 Example St","","Springfield","IA","71090-1430","US","2026-06-16","0.07","Standard (7-10 days)","1","22.99","1.00","",""
"A2FFC195-00006F-00309","Buyer111","Placeholder","211 Example St","","Springfield","FL","79009-1443","US","2026-06-16","0.21","Standard (7-10 days)","3","3.00","1.49","",""
"A2FFC195-000070-00310","Buyer112","Placeholder","212 Example St","","Springfield","MS","86928-1456","US","2026-06-16","0.28","Standard (7-10 days)","4","3.64","1.49","",""
"A2FFC195-000071-00317","Buyer113","Placeholder","213 Example St","","Springfield","VA","94847-1469","US","2026-06-16","0.07","Standard (7-10 days)","1","23.00","1.00","",""
"A2FFC195-000072-0031E","Buyer114","Placeholder","214 Example St","","Springfield","AL","12766-1482","US","2026-06-17","0.07","Standard (7-10 days)","1","13.19","1.00","",""
"A2FFC195-000073-00325","Buyer115","Placeholder","215 Example St","","Springfield","NJ","20685-1495","US","2026-06-17","0.00","Standard (7-10 days)","1","1499.99","0.00","",""
"A2FFC195-000074-0032C","Buyer116","Placeholder","216 Example St","","Springfield","TX","28604","US","2026-06-17","0.21","Standard (7-10 days)","3","16.47","1.00","",""
"A2FFC195-000075-00333","Buyer117","Placeholder","217 Example St","","Springfield","OR","36523-1521","US","2026-06-17","0.00","Standard (7-10 days)","1","249.99","0.00","",""
"A2FFC195-000076-0033A","Buyer118","Placeholder","218 Example St","","Springfield","WV","44442-1534","US","2026-06-17","0.07","Standard (7-10 days)","1","23.47","1.00","",""
"A2FFC195-000077-00341","Buyer119","Placeholder","219 Example St","","Springfield","CA","52361","US","2026-06-18","0.07","Standard (7-10 days)","1","23.47","1.00","",""
"A2FFC195-000078-00348","Buyer120","Placeholder","220 Example St","","Springfield","CA","60280","US","2026-06-18","0.00","Standard (7-10 days)","1","28.99","0.00","",""
"A2FFC195-000079-0034F","Buyer121","Placeholder","221 Example St","","Springfield","CA","68199","US","2026-06-18","0.00","Standard (7-10 days)","1","28.99","0.00","",""
"A2FFC195-00007A-00356","Buyer122","Placeholder","222 Example St","","Springfield","FL","76118-1586","US","2026-06-18","0.07","Standard (7-10 days)","1","12.99","1.00","",""
"A2FFC195-00007B-0035D","Buyer123","Placeholder","223 Example St","","Springfield","IA","84037","US","2026-06-19","0.07","Standard (7-10 days)","1","12.00","1.00","",""
"A2FFC195-00007C-00364","Buyer124","Placeholder","224 Example St","","Springfield","MO","91956-1612","US","2026-06-20","0.07","Standard (7-10 days)","1","113.99","1.00","",""
"A2FFC195-00007D-0036B","Buyer125","Placeholder","225 Example St","","Springfield","FL","99875-1625","US","2026-06-20","0.07","Standard (7-10 days)","1","12.99","1.00","",""
"A2FFC195-00007E-00372","Buyer126","Placeholder","226 Example St","","Springfield","SC","17794-1638","US","2026-06-20","0.14","Standard (7-10 days)","2","6.10","1.00","",""
"A2FFC195-00007F-00379","Buyer127","Placeholder","227 Example St","","Springfield","AL","25713-1651","US","2026-06-20","0.07","Standard (7-10 days)","1","532.00","1.00","",""
"A2FFC195-000080-00380","Buyer128","Placeholder","228 Example St","","Springfield","TX","33632-1664","US","2026-06-21","0.07","Standard (7-10 days)","1","38.00","1.00","",""
"A2FFC195-000081-00387","Buyer129","Placeholder","229 Example St","","Springfield","TX","41551-1677","US","2026-06-21","0.28","Standard (7-10 days)","4","52.68","1.00","",""
"A2FFC195-000082-0038E","Buyer130","Placeholder","230 Example St","","Springfield","WA","49470","US","2026-06-21","0.00","Standard (7-10 days)","1","86.99","0.00","",""
"A2FFC195-000083-00395","Buyer131","Placeholder","231 Example St","","Springfield","CA","57389-1703","US","2026-06-21","0.07","Standard (7-10 days)","1","22.41","1.00","",""
"A2FFC195-000084-0039C","Buyer132","Placeholder","232 Example St","","Springfield","MO","65308","US","2026-06-21","0.00","Standard (7-10 days)","1","274.99","0.00","",""
"A2FFC195-000085-003A3","Buyer133","Placeholder","233 Example St","","Springfield","IL","73227-1729","US","2026-06-22","0.07","Standard (7-10 days)","1","21.99","1.00","",""
"A2FFC195-000086-003AA","Buyer134","Placeholder","234 Example St","","Springfield","OR","81146-1742","US","2026-06-24","0.00","Standard (7-10 days)","12","75.00","0.00","",""
"A2FFC195-000087-003B1","Buyer135","Placeholder","235 Example St","","Springfield","NC","89065","US","2026-06-24","0.14","Standard (7-10 days)","2","11.00","1.00","",""
"A2FFC195-000088-003B8","Buyer136","Placeholder","236 Example St","","Springfield","IL","96984-1768","US","2026-06-24","0.28","Standard (7-10 days)","4","7.98","1.00","",""
"A2FFC195-000089-003BF","Buyer137","Placeholder","237 Example St","","Springfield","IA","14903","US","2026-06-24","0.07","Standard (7-10 days)","1","20.37","1.00","",""
"A2FFC195-00008A-003C6","Buyer138","Placeholder","238 Example St","","Springfield","MD","22822-1794","US","2026-06-24","0.00","Standard (7-10 days)","6","42.90","0.00","",""
"A2FFC195-00008B-003CD","Buyer139","Placeholder","239 Example St","","Springfield","MD","30741-1807","US","2026-06-24","0.00","Standard (7-10 days)","5","47.25","0.00","",""
"A2FFC195-00008C-003D4","Buyer140","Placeholder","240 Example St","","Springfield","CA","38660-1820","US","2026-06-25","0.00","Standard (7-10 days)","10","68.80","0.00","",""
"A2FFC195-00008D-003DB","Buyer141","Placeholder","241 Example St","","Springfield","NV","46579-1833","US","2026-06-25","0.00","Standard (7-10 days)","10","128.50","0.00","",""
"A2FFC195-00008E-003E2","Buyer142","Placeholder","242 Example St","Unit 142","Springfield","MI","54498-1846","US","2026-06-26","0.00","Standard (7-10 days)","2","171.98","0.00","",""
"A2FFC195-00008F-003E9","Buyer143","Placeholder","243 Example St","","Springfield","TN","62417-1859","US","2026-06-27","0.07","Standard (7-10 days)","1","6.63","1.00","",""
"A2FFC195-000090-003F0","Buyer144","Placeholder","244 Example St","","Springfield","NV","70336-1872","US","2026-06-28","0.07","Standard (7-10 days)","1","65.00","1.00","",""
"A2FFC195-000091-003F7","Buyer145","Placeholder","245 Example St","","Springfield","AZ","78255-1885","US","2026-06-29","0.00","Standard (7-10 days)","2","37.98","0.00","",""
"A2FFC195-000092-003FE","Buyer146","Placeholder","246 Example St","","Springfield","VA","86174","US","2026-06-29","0.00","Standard (7-10 days)","12","150.00","0.00","",""
"A2FFC195-000093-00405","Buyer147","Placeholder","247 Example St","","Springfield","MD","94093","US","2026-06-29","0.00","Standard (7-10 days)","6","76.14","0.00","",""
"A2FFC195-000094-0040C","Buyer148","Placeholder","248 Example St","","Springfield","IL","12012-1924","US","2026-07-01","0.21","Standard (7-10 days)","3","15.00","1.00","",""
"A2FFC195-000095-00413","Buyer149","Placeholder","249 Example St","","Springfield","FL","19931-1937","US","2026-07-01","0.00","Standard (7-10 days)","5","50.00","0.00","",""
"A2FFC195-000096-0041A","Buyer150","Placeholder","250 Example St","","Springfield","TX","27850-1950","US","2026-07-01","0.00","Standard (7-10 days)","4","43.00","0.00","",""
"A2FFC195-000097-00421","Buyer151","Placeholder","251 Example St","","Springfield","HI","35769-1963","US","2026-07-03","0.00","Standard (7-10 days)","1","289.99","0.00","",""
"A2FFC195-000098-00428","Buyer152","Placeholder","252 Example St","","Springfield","MI","43688","US","2026-07-05","0.00","Standard (7-10 days)","1","73.79","0.00","",""
"A2FFC195-000099-0042F","Buyer153","Placeholder","253 Example St","","Springfield","PA","51607-1989","US","2026-07-05","0.00","Standard (7-10 days)","1","73.79","0.00","",""
"A2FFC195-00009A-00436","Buyer154","Placeholder","254 Example St","","Springfield","VA","59526-2002","US","2026-07-05","0.00","Standard (7-10 days)","1","289.99","0.00","",""
"A2FFC195-00009B-0043D","Buyer155","Placeholder","255 Example St","","Springfield","SC","67445-2015","US","2026-07-05","0.00","Standard (7-10 days)","1","73.79","0.00","",""
"A2FFC195-00009C-00444","Buyer156","Placeholder","256 Example St","","Springfield","CA","75364-2028","US","2026-07-06","0.00","Standard (7-10 days)","1","73.79","0.00","",""
"A2FFC195-00009D-0044B","Buyer157","Placeholder","257 Example St","","Springfield","NH","83283-2041","US","2026-07-07","0.00","Standard (7-10 days)","1","73.79","0.00","",""
"A2FFC195-00009E-00452","Buyer158","Placeholder","258 Example St","","Springfield","MI","91202-2054","US","2026-07-07","0.00","Standard (7-10 days)","1","29.89","0.00","",""
"A2FFC195-00009F-00459","Buyer159","Placeholder","259 Example St","","Springfield","NC","99121-2067","US","2026-07-08","0.00","Standard (7-10 days)","1","73.79","0.00","",""
"A2FFC195-0000A0-00460","Buyer160","Placeholder","260 Example St","","Springfield","MA","17040-2080","US","2026-07-15","0.07","Standard (7-10 days)","1","1694.99","1.00","",""
"A2FFC195-0000A1-00467","Buyer161","Placeholder","261 Example St","","Springfield","UT","24959-2093","US","2026-07-18","0.00","Standard (7-10 days)","7","79.03","0.00","",""
"A2FFC195-0000A2-0046E","Buyer162","Placeholder","262 Example St","","Springfield","IL","32878-2106","US","2026-07-20","0.00","Standard (7-10 days)","1","29.74","0.00","",""
"A2FFC195-0000A3-00475","Buyer163","Placeholder","263 Example St","","Springfield","IN","40797-2119","US","2026-07-20","0.00","Standard (7-10 days)","8","98.32","0.00","",""
